annual_revenue,monthly_transactions,avg_transaction_value,gst_compliance_score,upi_transaction_ratio,cashflow_stability,repayment_history_score,previous_loan_defaults,years_in_business,debt_to_revenue_ratio,default_probability
5745071.229516849,694.0600794943242,2685.8063234153337,0.6947976242193141,0.2659023843490734,0.7114382073643071,0.6006898544880827,0,1,0.5642580664643818,0.0006937879627666108
4792603.548243223,686.6464729040365,3133.4006443356166,0.5075537227938522,0.42722169673171867,0.9733600769369154,0.6265286128519286,1,14,0.5545055172141358,0.0015880524827183216
5971532.807151039,351.08920684249625,2783.1427267458284,0.9491365325550635,0.25640207215724287,0.372504986029556,0.8252976662261352,0,5,0.8247238291515894,0.001023445068873383
7284544.784612038,717.4774520746407,3632.5016563353433,0.7635219984143405,0.8700556699021059,0.38510111411251996,0.9576262659246274,1,9,0.9505687666834955,0.0010209487388088644
4648769.937914996,983.2072704554363,4936.614237754296,0.9249011304011768,0.22360144919624272,0.79123128969526,0.8297204671321461,2,9,1.1845342967559505,0.0012582084168247865
4648794.564576229,481.44197023080125,2574.7494114305546,0.5299523505016819,0.8306437719670211,0.7670449385150846,0.865516345227638,1,8,0.2908716683447807,0.003838223797064499
7368819.223261087,1062.1206627626482,4700.984597322097,0.6137290552364603,0.4427784785252656,0.47535444871828314,0.8504675452952793,0,6,0.48011125179893355,2.4434672493286166e-05
6151152.093729363,921.9437052710846,2561.9935131837346,0.6296899976105903,0.40229279324937767,0.8692013537101633,0.5925871635902349,1,14,0.2850829956101653,0.000955851501732516
4295788.421097572,616.4416695072406,2482.847345003739,0.693345747319394,0.2850558407238791,0.3901451288342242,0.8541582599093487,0,9,1.0689405310499847,0.001725074900269329
5813840.065378947,764.6175906655382,4482.313542011856,0.901433186198773,0.6086050674940153,0.9480192913437319,0.870712456131881,0,3,0.7033425625284013,4.0995601409574305e-05
4304873.460781307,1199.5804519102583,4606.32365360914,0.6932789368657464,0.6484224120086691,0.44072235123269493,0.7200401923903077,0,13,1.037684105275812,5.67910058345561e-05
4301405.369644615,983.3869533764664,4521.691924115185,0.6023267648231635,0.474056769801934,0.3569466609061035,0.7220537432000897,2,9,1.1837478201520841,0.006376458675798187
5362943.407349051,802.1959137245369,1921.0431101382305,0.5324951301693842,0.14456551655473932,0.5376654605316982,0.8558324818374903,0,8,0.7052273489179234,0.0012192805599702502
2130079.6330133034,740.5791707597539,2940.858826313539,0.5397458741763437,0.83480812055084,0.43148890197418144,0.8902185173346445,0,12,0.22996700110978863,0.0004726123869306187
2412623.251230451,819.1522676129149,4487.586310403985,0.8800236029804887,0.8842633063011048,0.668858857525223,0.6023172652184022,0,1,0.4973944929863446,0.00012750587747511124
4156568.706138541,672.0591105144241,3549.8502086766734,0.7224014955183164,0.444834732169468,0.7807925761602083,0.8809373305451744,0,9,0.1398082269955302,0.0001037643668614022
3480753.3194983643,273.81262357024633,2211.568584563043,0.8630905610000077,0.5909286459274617,0.6436451049348039,0.8885254040052467,0,8,1.0342310416298723,0.002910951036948346
5471370.998892911,1310.5444776336826,4049.98152695053,0.8411435608818487,0.4602389009949974,0.7624251322676843,0.5404753845511476,0,8,0.11967563576759033,1.8439861345894387e-05
3637963.8867181833,838.8312497998504,2642.231289210236,0.5676812308801289,0.35750372070889647,0.5554443600799891,0.8301704471900296,0,6,0.7514034891429352,0.0008726708636403257
2881544.4479970625,899.5368162806343,5653.429818070655,0.5714439670961335,0.16185503428624612,0.31954581806704796,0.511920353101695,2,9,0.2167466144980936,0.0014644152210566723
7198473.153382331,785.5230625307728,5353.80975490191,0.877671007717067,0.4648541843178391,0.9818448869576043,0.4558294677928776,0,8,0.1083136255335785,8.114313488648615e-06
4661335.549270197,616.2207998188529,4224.916911626681,0.8606341467427086,0.7547076450875613,0.8735894531779967,0.7447258072301366,3,2,0.38176548648754516,0.01909762137296561
5101292.307031886,753.5188797628073,5133.208045723728,0.6890153834371552,0.11362516887040286,0.35139317685923965,0.9451913192700394,0,6,0.7070374123413184,5.567058505859575e-05
2862877.720679815,400.1513094514222,3577.749620148057,0.53871113166642,0.5656861465441779,0.614423477309434,0.421275414115458,0,12,0.18259670342501014,0.0005960768821606241
4183425.9132122262,1369.271624513326,4418.524993250019,0.5060490108492262,0.8046176869813512,0.7445133490503122,0.895900982556953,0,11,0.7763766712782141,2.955399034211639e-05
5166383.884564799,491.37200039440097,5273.26435436249,0.6440784747308724,0.2740395440114864,0.4334159894008465,0.703882726422104,1,8,0.839191443251146,0.0006862926812485787
3273509.6338665457,542.0084290382051,3794.5984181531753,0.5046111367936135,0.24660469175124977,0.7045920279539399,0.9165372692327379,0,14,1.1666679101247972,0.0004867654449040435
5563547.027518508,689.9351989033999,3193.7753941828596,0.6150363105518517,0.7178213005615546,0.6735540326823809,0.9060861611026281,0,13,1.089490788426935,0.00035690014196096257
4099041.9651217926,1122.0189312130944,1454.453650187461,0.7097503701056693,0.3040691448954347,0.44578563197429333,0.9251720828897732,0,13,0.7234702128367185,0.0008224273255497663
4562459.375310085,803.6272498156635,3400.239769134207,0.560707882655977,0.25358741404851876,0.3988472164942173,0.861324372884004,1,6,0.9727012895809929,0.003361017768665354
4097440.0816559047,490.9660509923844,4488.107821474773,0.5521388789157731,0.40239140045538807,0.8312736027330462,0.905795412728197,0,13,0.5000051898116911,8.758682412410666e-05
7778417.276763407,1113.584590189335,4634.760113081155,0.9482187178593683,0.4140016098161744,0.5258105123047436,0.5056151243207222,0,14,0.7442834376699122,1.782175245560393e-05
4979754.162893099,982.7501566963704,4105.238078862092,0.7927350145114447,0.7992808504132528,0.4708283736895703,0.582311889324965,0,11,0.5436895869301525,7.671291636249906e-05
3413433.60656615,934.6087393041131,2850.441086045312,0.9672278433813908,0.5947547775469415,0.8165148469641921,0.5454917024843778,1,9,0.4707459378832633,0.0013220497847121974
6233817.368154784,978.9335602927101,1127.8141172628914,0.6729130818928396,0.4247691650716715,0.8152480844160873,0.8454569822368363,0,12,0.9004034344624378,0.0009685688102728327
3168734.5250434666,1398.5904751456128,2905.741882394318,0.8385724686645816,0.5275103714286135,0.49348115943536036,0.4921858716202816,1,5,0.42633759871542043,0.0011521849348465818
5313295.392507133,1346.2737237590281,3134.786154735258,0.6023458373108952,0.8631721866602193,0.9107979228762976,0.5093366742266732,1,8,0.5186074970055848,0.0005384498368904391
2060494.8141803367,628.3211642491761,3124.485239371983,0.8091701586399707,0.19057174128791632,0.7817751155506396,0.9273788324331655,0,10,0.5038887281888573,0.000320266135911877
3007720.926652354,1205.971248202788,4242.267628373509,0.5647928650049923,0.26617241737975317,0.5420349524750766,0.8235293157477029,0,2,1.057443769904854,0.0001742158747541063
5295291.853803685,895.792047439725,5882.811693217807,0.5010403195881429,0.8700229652692443,0.5992427551292612,0.925227986751452,0,12,0.2874449169461012,8.615246787649557e-06
6107699.869993116,924.7739540344373,3648.235042209312,0.9657659007047895,0.8658598788217633,0.8086967801514324,0.4836131549564143,2,5,0.5196233711622111,0.0030378675945820343
5257052.421784956,376.93229208916785,3239.921853012246,0.7774471880876046,0.24173233701181812,0.44810868302684437,0.6393882427367814,0,1,1.0766567709017043,0.0017641603360310778
4826527.576417639,757.403558652951,3188.933824395089,0.9634703313910198,0.2160870537002386,0.6281325547326568,0.5698907020457906,0,5,0.11683486846644173,0.0001634782536179647
4548344.456616066,596.7941024158588,3649.261720289257,0.666915761851036,0.4368681074708959,0.7574908395806697,0.40580865116778975,1,7,1.1426536948609247,0.00464065510735742
2782217.014448859,1007.0147037233273,2506.0474875819214,0.6638930345808784,0.1397746339903753,0.6776489836060993,0.5707137762632242,2,1,1.0887904617750317,0.05891609517582127
3920233.687407937,1067.7701251007013,3644.238270495266,0.7003275008865159,0.6239228258281121,0.7258298421331453,0.6277499511867277,0,13,0.5596329610500266,9.327849346250119e-05
4309041.843560318,281.37841224592216,4040.9748035981597,0.8530204919790841,0.16199681732939375,0.6823487496337457,0.45533178234562716,1,10,0.8183278085127423,0.0028042046569594164
6585683.339328374,794.4912839989324,3751.6232762893856,0.7829043170930872,0.1464237016754246,0.4394592106530141,0.7398925346960918,0,3,1.1901733266842047,0.0003212073790940695
5515427.434352692,1080.465376198563,4049.0503208057376,0.962677453549559,0.4881495489670794,0.5871437414808349,0.6299035974835799,0,6,0.7104432147679544,5.958792298653175e-05
2355439.766955899,753.3302594216387,4020.4971312182424,0.5127204505662197,0.8662293088880813,0.6723898468342819,0.4278769973665273,0,12,0.2065885605901692,0.00020701176044644816
5486125.954092192,982.2659112505911,1373.7239813042675,0.8540979689862682,0.4414367488505277,0.8460439196421622,0.8223873189207861,0,1,1.0390051148834527,0.001352863518838932
4422376.579375525,887.791366906771,4264.244190074483,0.6651638446832772,0.38518492692844086,0.7577329660186798,0.8375679003046621,1,3,0.24756677601292895,0.0003444952485919079
